"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Mar-2020","EQ","570.00","579.85","485.65","582.60","499.90","502.75","513.41","1,174.95","387.50",145501,"74,702,000.60",3768
"06-Mar-2020","EQ","564.00","605.00","535.05","573.00","578.00","582.60","548.64","1,174.95","387.50",225710,"123,832,508.70",3641
"05-Mar-2020","EQ","575.00","585.05","556.85","567.25","576.00","573.00","565.30","1,174.95","387.50",163410,"92,376,399.30",3355
"04-Mar-2020","EQ","549.00","608.00","536.30","540.25","565.10","567.25","571.72","1,174.95","387.50",367906,"210,338,553.15",11589
"03-Mar-2020","EQ","520.70","550.00","520.70","520.65","544.00","540.25","537.07","1,174.95","387.50",190857,"102,503,567.30",1069
"02-Mar-2020","EQ","550.85","568.00","445.00","542.65","519.95","520.65","512.80","1,174.95","387.50",49811,"25,542,982.75",3099
"28-Feb-2020","EQ","572.00","572.00","528.60","577.50","543.00","542.65","541.70","1,174.95","387.50",20852,"11,295,613.90",2022
"27-Feb-2020","EQ","588.60","594.20","575.00","588.55","580.00","577.50","580.45","1,174.95","387.50",9064,"5,261,216.80",1111
"26-Feb-2020","EQ","591.00","617.70","587.00","604.05","587.35","588.55","598.90","1,174.95","387.50",27696,"16,587,173.75",4019
"25-Feb-2020","EQ","610.00","618.95","601.20","616.95","602.00","604.05","609.03","1,174.95","387.50",12927,"7,872,926.15",1152
"24-Feb-2020","EQ","615.00","632.45","613.25","623.30","622.10","616.95","623.38","1,174.95","387.50",25660,"15,996,053.65",3738
"20-Feb-2020","EQ","603.10","629.40","603.10","609.20","623.95","623.30","620.27","1,174.95","387.50",22799,"14,141,456.45",2002
"19-Feb-2020","EQ","602.00","620.65","600.65","602.60","610.00","609.20","607.77","1,174.95","387.50",37230,"22,627,238.25",2712
"18-Feb-2020","EQ","619.00","623.90","598.00","608.50","601.00","602.60","608.94","1,174.95","387.50",27166,"16,542,372.70",4106
"17-Feb-2020","EQ","619.55","621.75","605.15","617.65","610.90","608.50","612.30","1,174.95","387.50",15086,"9,237,141.45",1299
"14-Feb-2020","EQ","628.70","640.00","615.55","625.20","615.65","617.65","630.39","1,174.95","387.50",25184,"15,875,763.30",2217
"13-Feb-2020","EQ","616.00","648.00","616.00","616.25","630.25","625.20","633.15","1,174.95","387.50",40466,"25,621,181.80",3147
"12-Feb-2020","EQ","610.10","637.85","610.10","621.65","615.10","616.25","621.49","1,174.95","387.50",26036,"16,181,169.20",1953
"11-Feb-2020","EQ","625.80","628.55","612.05","616.95","621.10","621.65","618.39","1,174.95","387.50",15626,"9,662,993.40",1551
"10-Feb-2020","EQ","635.00","636.05","613.05","633.65","614.25","616.95","621.65","1,174.95","387.50",18505,"11,503,725.20",1932
"07-Feb-2020","EQ","627.00","638.35","627.00","632.55","634.00","633.65","634.23","1,174.95","387.50",13833,"8,773,346.15",1112
